Key,Source,Context,Changes,English,schinese,Russian
Perk Mastery,progression,Attribute,New,Perk Mastery,精通技能,Мастерские перки
PerkMastery,progression,Attribute,New,Master your area of expertise!,掌握您的专业领域!,Овладейте своей специализацией!
Unlock Masteries,progression,Attribute,New,Unlock Masteries,解锁专精,Разблокировать Мастерство
UnlockMasteries,progression,Attribute,New,"Master yourself, master the enemy.","战胜自己,战胜敌人","Владей собой, властвуй над врагом."
Jack of All Trades,progression,Attribute,New,Jack of All Trades!,多面手,Мастер на все руки!
Master of One,progression,Attribute,New,Master of One!,专精一项,Мастер одного дела!

Sprinter,progression,skills,New,Sprinter,短跑选手,Спринтер
Sprinter0,progression,skills,New,You are mastering the art of sprinting. Your sprinting speed increases.,"你正在学习短跑的技巧,冲刺速度提高了",Вы овладеваете искусством бега. Ваша скорость бега увеличивается.
Sprinter1,progression,skills,New,"Increase your sprinting speed by 7%.",你的冲刺速度提高7%,Увеличьте скорость бега на 7%.
Sprinter2,progression,skills,New,"Increase your sprinting speed by 14%.",你的冲刺速度提高14%,Увеличьте скорость бега на 14%.
Sprinter3,progression,skills,New,"Increase your sprinting speed by 21%.",你的冲刺速度提高21%,Увеличьте скорость бега на 21%.
Sprinter4,progression,skills,New,"Increase your sprinting speed by 28%.",你的冲刺速度提高28%,Увеличьте скорость бега на 28%.
Sprinter5,progression,skills,New,"Increase your sprinting speed by 35%.",你的冲刺速度提高35%,Увеличьте скорость бега на 35%.
Sprinter6,progression,skills,New,"Increase your sprinting speed by 42%.",你的冲刺速度提高42%,Увеличьте скорость бега на 42%.
Sprinter7,progression,skills,New,"Gotta go fast!\n\nIncrease your sprinting speed by 50%.",可以更快!你的冲刺速度提高50%,Нужно бежать быстро! Увеличьте скорость бега на 50%.

Runner,progression,skills,New,Runner,长跑选手,Бегун
Runner0,progression,skills,New,You are mastering the art of running. Your stamina recuperation increases.,"你正在学习长跑的技巧,你的体力恢复速度提高了",Вы овладеваете искусством бега. Вы становитесь более выносливым.
Runner1,progression,skills,New,"Increase stamina regen by 4%.",体力恢复速度提高4%,Увеличивает восстановление выносливости на 4%.
Runner2,progression,skills,New,"Increase stamina regen by 8%.",体力恢复速度提高8%,Увеличивает восстановление выносливости на 8%.
